item,brand,category,gender,time_of_delivery_days,price,size,color,style,warmth,waterproof,current_day,url,image
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200,XL,Orange,Insulated,4,4,2/7/26,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arc_teryx_gloves_fission_sv_glove_orange.jpg
Men's Burton Highshot X Pro Step On® Snowboard Boots,Burton,boots,Men,6,430,8,Black,Boots,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-highshot-x-pro-step-on-snowboard-boots/W26-304781.html?dwvar_W26-304781_variationColor=A02,product_images/burton_boots_men_s_burton_highshot_x_pro_step_on_snowboard_boots_black.jpg
Men's Burton Highshot X Pro Step On® Snowboard Boots,Burton,boots,Men,6,430,9,Black,Boots,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-highshot-x-pro-step-on-snowboard-boots/W26-304781.html?dwvar_W26-304781_variationColor=A02,product_images/burton_boots_men_s_burton_highshot_x_pro_step_on_snowboard_boots_black.jpg
Men's Burton Highshot X Pro Step On® Snowboard Boots,Burton,boots,Men,6,430,10,Black,Boots,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-highshot-x-pro-step-on-snowboard-boots/W26-304781.html?dwvar_W26-304781_variationColor=A02,product_images/burton_boots_men_s_burton_highshot_x_pro_step_on_snowboard_boots_black.jpg
Men's Burton Highshot X Pro Step On® Snowboard Boots,Burton,boots,Men,6,430,11,Black,Boots,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-highshot-x-pro-step-on-snowboard-boots/W26-304781.html?dwvar_W26-304781_variationColor=A02,product_images/burton_boots_men_s_burton_highshot_x_pro_step_on_snowboard_boots_black.jpg
Men's Burton Highshot X Pro Step On® Snowboard Boots,Burton,boots,Men,6,430,12,Black,Boots,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-highshot-x-pro-step-on-snowboard-boots/W26-304781.html?dwvar_W26-304781_variationColor=A02,product_images/burton_boots_men_s_burton_highshot_x_pro_step_on_snowboard_boots_black.jpg
Men's Burton Highshot X Pro Step On® Snowboard Boots,Burton,boots,Men,6,430,8,White,Boots,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-highshot-x-pro-step-on-snowboard-boots/W26-304781.html?dwvar_W26-304781_variationColor=A02,product_images/burton_boots_men_s_burton_highshot_x_pro_step_on_snowboard_boots_white.jpg
Men's Burton Highshot X Pro Step On® Snowboard Boots,Burton,boots,Men,6,430,9,White,Boots,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-highshot-x-pro-step-on-snowboard-boots/W26-304781.html?dwvar_W26-304781_variationColor=A02,product_images/burton_boots_men_s_burton_highshot_x_pro_step_on_snowboard_boots_white.jpg
Men's Burton Highshot X Pro Step On® Snowboard Boots,Burton,boots,Men,6,430,10,White,Boots,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-highshot-x-pro-step-on-snowboard-boots/W26-304781.html?dwvar_W26-304781_variationColor=A02,product_images/burton_boots_men_s_burton_highshot_x_pro_step_on_snowboard_boots_white.jpg
Men's Burton Highshot X Pro Step On® Snowboard Boots,Burton,boots,Men,6,430,11,White,Boots,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-highshot-x-pro-step-on-snowboard-boots/W26-304781.html?dwvar_W26-304781_variationColor=A02,product_images/burton_boots_men_s_burton_highshot_x_pro_step_on_snowboard_boots_white.jpg
Men's Burton Highshot X Pro Step On® Snowboard Boots,Burton,boots,Men,6,430,12,White,Boots,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-highshot-x-pro-step-on-snowboard-boots/W26-304781.html?dwvar_W26-304781_variationColor=A02,product_images/burton_boots_men_s_burton_highshot_x_pro_step_on_snowboard_boots_white.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,S,Beige,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_beige.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,M,Beige,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_beige.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,L,Beige,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_beige.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,XL,Beige,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_beige.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,S,Black,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_black.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,M,Black,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_black.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,L,Black,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_black.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,XL,Black,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_black.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,S,Blue,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_blue.jpg
